FeatureID,calc_mw,mz,rt
12.402_146.05996_RP,145.05268,146.05996,12.402
1.058_133.09709_RP,132.08982,133.09709,1.058
1.003_112.08682_RP,94.053,112.08682,1.003
1.215_134.04465_RP,133.03737,134.04465,1.215
1.799_324.05897_RP,323.0517,324.05897,1.799
1.131_156.07667_RP,155.06937,156.07667,1.131
1.169_156.07662_RP,155.06934,156.07662,1.169
1.187_142.02625_RP,141.01897,142.02625,1.187
1.428_90.05489_RP,89.04761,90.05489,1.428
1.253_120.06537_RP,119.05809,120.06537,1.253
2.295_244.0926_RP,243.08533,244.0926,2.295
2.277_227.06611_RP,226.0588,227.06611,2.277
1.227_90.0549_RP,89.04762,90.0549,1.227
1.306_176.10281_RP,175.09553,176.10281,1.306
3.943_190.07087_RP,189.06359,190.07087,3.943
2.027_118.08612_RP,117.07884,118.08612,2.027
4.534_132.10176_RP,131.09448,132.10176,4.534
1.231_147.0763_RP,146.06902,147.0763,1.231
1.286_148.06029_RP,147.05302,148.06029,1.286
5.686_218.13849_RP,217.13121,218.13849,5.686
1.187_106.04972_RP,105.04244,106.04972,1.187
1.436_360.14977_RP,359.1425,360.14977,1.436
1.464_360.14971_RP,359.14243,360.14971,1.464
4.281_182.08101_RP,181.07373,182.08101,4.281
1.267_258.10978_RP,257.1025,258.10978,1.267
2.388_204.12285_RP,203.11557,204.12285,2.388
4.747_245.07659_RP,244.06931,245.07659,4.747
1.464_489.11412_RP,488.10684,489.11412,1.464
6.477_252.10891_RP,251.10164,252.10891,6.477
1.173_241.03089_RP,240.02361,241.03089,1.173
5.586_613.1588_RP,612.15152,613.1588,5.586
1.47_116.07044_RP,115.06316,116.07044,1.47
8.831_205.09698_RP,187.06318,205.09698,8.831
1.206_116.03408_RP,115.02682,116.03408,1.206
1.195_133.06063_RP,132.05335,133.06063,1.195
1.312_118.0861_RP,117.07882,118.0861,1.312
7.302_166.08613_RP,148.05231,166.08613,7.302
1.666_118.08613_RP,100.05231,118.08613,1.666
8.234_220.11778_RP,219.1105,220.11778,8.234
1.545_522.20244_RP,504.16862,522.20244,1.545
8.618_154.0498_RP,153.04252,154.0498,8.618
1.492_148.06032_RP,147.05304,148.06032,1.492
1.224_184.07314_RP,183.06587,184.07314,1.224
6.546_284.0987_RP,283.09143,284.0987,6.546
4.201_132.10177_RP,131.09449,132.10177,4.201
4.106_132.10179_RP,131.09452,132.10179,4.106
1.289_184.07313_RP,183.06586,184.07313,1.289
1.358_184.07316_RP,183.06589,184.07316,1.358
1.336_114.06604_RP,113.05876,114.06604,1.336
1.404_104.0705_RP,103.06322,104.0705,1.404
2.917_228.09773_RP,227.09045,228.09773,2.917
4.094_153.0406_RP,152.03332,153.0406,4.094
2.175_325.04298_RP,324.0357,325.04298,2.175
2.329_152.05659_RP,151.04931,152.05659,2.329
1.279_162.11232_RP,161.10504,162.11232,1.279
1.212_126.0218_RP,125.01453,126.0218,1.212
6.299_268.10374_RP,267.09646,268.10374,6.299
1.298_198.09698_RP,180.06316,198.09698,1.298
1.137_175.11884_RP,174.11156,175.11884,1.137
1.429_132.07661_RP,131.06934,132.07661,1.429
1.5_132.07662_RP,131.06934,132.07662,1.5
9.243_192.06873_RP,191.06145,192.06873,9.243
6.817_209.0919_RP,208.08462,209.0919,6.817
3.138_130.04978_RP,129.0425,130.04978,3.138
1.135_227.11366_RP,226.10638,227.11366,1.135
1.737_522.20273_RP,504.1689,522.20273,1.737
2.197_146.09231_RP,145.08504,146.09231,2.197
1.418_146.11741_RP,145.11013,146.11741,1.418
2.438_189.0869_RP,188.07962,189.0869,2.438
1.981_148.06036_RP,147.05309,148.06036,1.981
2.645_124.03921_RP,123.03193,124.03921,2.645
5.751_127.05008_RP,126.0428,127.05008,5.751
1.474_114.06609_RP,113.05881,114.06609,1.474
10.719_194.08099_RP,193.07371,194.08099,10.719
3.375_258.10826_RP,257.10098,258.10826,3.375
1.491_222.09701_RP,221.08973,222.09701,1.491
1.543_222.09702_RP,221.08974,222.09702,1.543
2.594_139.05012_RP,138.04284,139.05012,2.594
1.167_90.0549_RP,89.04762,90.0549,1.167
2.977_123.05516_RP,122.04788,123.05516,2.977
1.587_132.07663_RP,131.06936,132.07663,1.587
1.427_127.05007_RP,126.04279,127.05007,1.427
2.214_118.04977_RP,117.0425,118.04977,2.214
3.653_166.07225_RP,165.06497,166.07225,3.653
1.194_104.10686_RP,103.09958,104.10686,1.194
10.013_180.06538_RP,179.0581,180.06538,10.013
2.382_217.12935_RP,216.12208,217.12935,2.382
3.313_137.04567_RP,136.03839,137.04567,3.313
1.447_138.05485_RP,137.04757,138.05485,1.447
1.371_173.04188_RP,172.0346,173.04188,1.371
1.449_310.11306_RP,309.10579,310.11306,1.449
3.445_137.0457_RP,136.03842,137.0457,3.445
2.234_136.06169_RP,135.05441,136.06169,2.234
2.183_130.08616_RP,129.07888,130.08616,2.183
2.37_130.08614_RP,129.07887,130.08614,2.37
1.524_182.10216_RP,164.06833,182.10216,1.524
1.38_159.05116_RP,158.04388,159.05116,1.38
6.828_268.10383_RP,267.09656,268.10383,6.828
1.378_222.09702_RP,221.08974,222.09702,1.378
7.825_282.11945_RP,281.11217,282.11945,7.825
7.803_189.12321_RP,188.11593,189.12321,7.803
1.561_189.12324_RP,188.11596,189.12324,1.561
1.371_168.08653_RP,167.07925,168.08653,1.371
1.345_162.11235_RP,161.10507,162.11235,1.345
4.97_86.06002_RP,85.05274,86.06002,4.97
3.084_169.03554_RP,168.02827,169.03554,3.084
6.121_146.08108_RP,145.07381,146.08108,6.121
1.661_189.12326_RP,188.11598,189.12326,1.661
3.145_116.0705_RP,115.06323,116.0705,3.145
1.291_164.09159_RP,163.08431,164.09159,1.291
12.165_146.05994_RP,145.05267,146.05994,12.165
1.406_310.11304_RP,309.10576,310.11304,1.406
1.058_130.08616_RP,129.07889,130.08616,1.058
17.382_386.25351_RP,385.24623,386.25351,17.382
1.561_101.05959_RP,100.05227,101.05959,1.561
18.152_275.20035_RP,274.19308,275.20035,18.152
1.11_226.95124_RP,225.94396,226.95124,1.11
1.256_132.06535_RP,131.05808,132.06535,1.256
21.029_280.26325_RP,279.25596,280.26325,21.029
18.152_329.23205_RP,328.22476,329.23205,18.152
21_263.23676_RP,262.22948,263.23676,21
19.463_296.25821_RP,278.22438,296.25821,19.463
18.153_293.2109_RP,292.20362,293.2109,18.153
1.205_198.097_RP,180.06318,198.097,1.205
19.442_280.26328_RP,262.22945,280.26328,19.442
1.563_229.11806_RP,228.11078,229.11806,1.563
1.309_235.16499_RP,234.15771,235.16499,1.309
