database_id,cmm_id,prediction
NPA000001,1,713.87115
NPA000002,2,1021.01624
NPA000003,3,682.6624
NPA000004,4,860.35736
NPA000005,5,692.5373
NPA000006,6,1070.2721
NPA000007,7,843.17505
NPA000008,8,786.0282
NPA000009,9,667.0618
NPA000010,10,754.2566
NPA000011,11,629.83746
NPA000012,12,835.36774
NPA000013,13,685.2528
NPA000014,14,935.1212
NPA000016,15,1316.4648
NPA000017,16,722.82947
NPA000018,17,1008.47046
NPA000019,18,870.73505
NPA000020,19,673.05365
NPA000021,20,1075.1948
NPA000022,21,1125.5157
NPA000023,22,729.9371
NPA000024,23,606.58203
NPA000025,24,950.7826
NPA000026,25,1173.3999
NPA000027,26,1166.5122
NPA000028,27,685.5488
NPA000029,28,632.8504
NPA000030,29,681.6247
NPA000031,30,599.5578
NPA000032,31,569.4478
NPA000033,32,1009.5088
NPA000034,33,671.2112
NPA000035,34,761.3299
NPA000036,35,937.9333
NPA000037,36,777.2157
NPA000038,37,95.57364
NPA000039,38,563.6376
NPA000041,39,654.61224
NPA000042,40,873.56177
NPA000043,41,708.46356
NPA000044,42,676.2431
NPA000045,43,889.3594
NPA000046,44,708.7068
NPA000047,45,992.69025
NPA000048,46,606.12836
NPA000049,47,759.7394
NPA000050,48,1100.8842
NPA000051,49,616.64185
NPA000052,50,764.6656
NPA000053,51,916.41034
NPA000054,52,830.87146
NPA000055,53,628.9702
NPA000056,54,643.5977
NPA000057,55,836.90265
NPA000058,56,646.7274
NPA000059,57,685.3384
NPA000060,58,681.3905
NPA000061,59,741.1221
NPA000062,60,800.4291
NPA000063,61,941.87476
NPA000064,62,741.4426
NPA000065,63,654.1286
NPA000066,64,727.7067
NPA000067,65,681.4232
NPA000068,66,923.8313
NPA000069,67,1092.157
NPA000070,68,827.767
NPA000071,69,1074.5599
NPA000072,70,596.5762
NPA000073,71,933.6879
NPA000074,72,709.60626
NPA000075,73,1054.8612
NPA000076,74,863.1349
NPA000077,75,824.4573
NPA000078,76,800.20514
NPA000079,77,1088.3546
NPA000080,78,895.1615
NPA000081,79,667.8639
NPA000082,80,788.11096
NPA000083,81,1026.4497
NPA000084,82,972.11206
NPA000085,83,639.1098
NPA000086,84,1015.0309
NPA000087,85,931.41125
NPA000088,86,1102.5863
NPA000089,87,1180.0183
NPA000090,88,663.06067
NPA000091,89,769.401
NPA000092,90,897.4928
NPA000093,91,852.26556
NPA000094,92,716.34045
NPA000095,93,622.7765
NPA000096,94,924.7772
NPA000097,95,761.8695
NPA000098,96,702.57715
NPA000099,97,763.51025
NPA000100,98,679.21655
NPA000101,99,647.0895
NPA000102,100,742.05273
NPA000103,101,1021.83563
NPA000104,102,1040.381
NPA000105,103,838.789
NPA000106,104,823.3219
NPA000107,105,1055.4806
